User ID,Concept ID,Gender,Age,SchoolClass,DegreeCarefulness,Proficiency,Stereotype
15624510,10,Male,13,1,0,0.65,intermediate
15810944,10,Male,13,1,0,0.65,intermediate
15668575,10,Female,13,1,0,0.65,intermediate
15603246,10,Female,13,1,0,0.65,intermediate
15804002,10,Male,13,1,0,0.65,intermediate
15728773,10,Male,13,1,0,0.65,intermediate
15598044,10,Female,13,1,0,0.65,intermediate
15694829,10,Female,13,1,1,0.65,intermediate
15600575,10,Male,13,1,0,0.65,intermediate
15727311,10,Female,13,1,0,0.65,intermediate
15570769,10,Female,13,1,0,0.65,intermediate
15606274,10,Female,13,1,0,0.65,intermediate
15746139,10,Male,14,2,0,0.65,intermediate
15704987,10,Male,14,2,0,0.75,intermediate
15628972,10,Male,14,2,0,0.75,intermediate
15697686,10,Male,15,2,0,0.75,intermediate
15733883,10,Male,15,2,1,0.75,intermediate
15617482,10,Male,14,2,1,0.75,intermediate
15704583,10,Male,14,2,1,0.8,intermediate
15621083,10,Female,14,2,1,0.8,intermediate
15649487,10,Male,14,2,1,0.8,intermediate
15736760,10,Female,14,2,1,0.8,intermediate
15714658,10,Male,14,2,1,0.8,intermediate
15599081,10,Female,15,2,1,0.8,intermediate
15705113,10,Male,14,2,1,0.8,intermediate
15631159,10,Male,14,2,1,0.8,intermediate
15792818,10,Male,14,2,1,0.8,intermediate
15633531,10,Female,14,2,1,0.8,intermediate
15744529,10,Male,14,2,0,0.8,intermediate
15669656,10,Male,14,2,0,0.8,intermediate
15581198,10,Male,14,2,0,0.8,intermediate
15729054,10,Female,14,2,1,0.8,intermediate
15573452,10,Female,15,3,0,0.85,intermediate
15776733,10,Female,15,3,0,0.85,intermediate
15724858,10,Male,15,3,0,0.85,intermediate
15713144,10,Male,15,3,0,0.85,intermediate
15690188,10,Female,15,3,0,0.85,intermediate
15689425,10,Male,15,3,0,0.85,intermediate
15671766,10,Female,15,3,0,0.85,intermediate
15782806,10,Female,15,3,0,0.85,intermediate
15764419,10,Female,15,3,0,0.85,intermediate
15591915,10,Female,16,3,0,0.85,intermediate
15772798,10,Male,15,3,0,0.85,intermediate
15792008,10,Male,16,3,0,0.87,intermediate
15715541,10,Female,15,3,0,0.87,intermediate
15639277,10,Male,15,3,0,0.87,intermediate
15798850,10,Male,15,3,0,0.87,intermediate
15776348,10,Female,15,3,0,0.87,intermediate
15727696,10,Male,15,3,1,0.87,intermediate
15793813,10,Female,15,3,0,0.87,intermediate
15694395,10,Female,15,3,0,0.87,intermediate
15764195,10,Female,15,3,0,0.87,intermediate
15744919,10,Female,14,3,0,0.87,intermediate
15671655,10,Female,14,3,0,0.87,intermediate
15654901,10,Female,15,3,0,0.87,intermediate
15649136,10,Female,15,3,0,0.87,intermediate
15775562,10,Female,15,3,0,0.87,intermediate
15807481,10,Male,15,3,0,0.87,intermediate
15642885,10,Male,15,3,0,0.87,intermediate
15789109,10,Female,15,3,0,0.87,intermediate
15814004,10,Male,15,3,0,0.87,intermediate
15673619,10,Male,15,3,0,0.87,intermediate
15595135,10,Female,15,3,0,0.87,advanced
15583681,10,Male,15,3,1,0.87,advanced
15605000,10,Female,14,3,0,0.87,advanced
15718071,10,Male,16,3,0,0.87,advanced
15679760,10,Male,15,3,0,0.87,advanced
15654574,10,Female,15,3,0,0.87,advanced
15577178,10,Female,14,2,0,0.77,intermediate
15595324,10,Female,14,2,0,0.77,intermediate
15756932,10,Male,14,2,0,0.77,intermediate
15726358,10,Female,14,2,0,0.77,intermediate
15595228,10,Female,14,2,0,0.77,intermediate
15782530,10,Female,14,2,0,0.77,intermediate
15592877,10,Male,14,2,0,0.77,intermediate
15651983,10,Male,14,2,1,0.77,intermediate
