0.02,0.39,0.29,10,5,0.2215811847857108
0.2,0.11,0.24,11,5,0.20236748413603137
0.87,0.62,0.77,12,1,0.713070878353346
0.1,0.12,0.09,13,2,0.1034639082860026
0.32,0.22,0.1,14,0,0.2011008717339527
0.4,0.28,0.13,15,0,0.2382710758256231
0.36,0.33,0.27,16,0,0.33426657025123524
0.65,0.64,0.57,17,1,0.53418302781417
0.61,0.95,0.8,18,0,0.7731414260906305
0.43,0.09,0.15,19,4,0.2452018554403653
0.36,0.22,0.06,110,0,0.20017930324217784
0.21,0.22,0.21,111,0,0.22706096209686105
0.22,0.27,0.15,112,3,0.20201987956954148
0.79,0.65,0.68,113,3,0.7551262117591401
0.68,0.81,0.98,114,1,0.721134138314468
0.67,0.58,0.66,115,3,0.7124545807556949
0.77,0.99,0.66,116,0,0.8881282503108132
0.22,0.26,0.2,117,0,0.2021534019959068
0.76,0.84,0.77,118,1,0.8456713868123786
0.82,0.95,0.72,119,1,0.7696399152208593
0.77,0.77,0.59,120,0,0.7752210766052053
0.34,0.3,0.28,121,2,0.33060531353164646
0.78,0.77,0.75,122,1,0.8363441177984557
0.28,0.32,0.27,123,0,0.2909305882134822
0.75,0.64,0.8,124,3,0.745627534141979
0.09,0.5,0.23,125,0,0.23391390093922695
0.83,0.75,0.63,126,1,0.7781869498117754
0.83,0.66,0.7,127,2,0.7154181958869006
0.63,0.64,0.61,20,6,0.5412063890535901
0.68,0.56,0.66,21,7,0.6669836066583906
0.78,0.81,0.91,22,6,0.9113818890412045
0.53,0.63,0.69,23,8,0.6357999361916211
0.65,0.74,0.75,24,7,0.7698376559763602
0.68,0.73,0.78,25,7,0.6462063744188378
0.85,0.8,0.53,26,7,0.62950054654051
0.87,0.76,0.71,27,7,0.7156117507200741
0.75,0.74,0.54,28,7,0.6438325149580513
0.65,0.7,0.67,29,6,0.6334373894415062
0.81,0.92,0.69,210,7,0.7390732575857357
0.79,0.78,0.85,211,6,0.7269261968236296
0.75,0.85,0.69,212,6,0.7967706577310985
0.17,0.06,0.25,213,6,0.16031265696344071
0.18,0.16,0.21,214,6,0.180233991793854
0.69,0.65,0.76,215,6,0.6406154773589303
0.87,0.61,0.82,216,6,0.7200962065249092
0.61,0.9,0.76,217,7,0.6821343776821744
0.73,0.67,0.59,218,9,0.5673210710931802
0.69,0.79,0.63,219,7,0.5978921841605253
0.59,0.64,0.79,220,6,0.6526140334860051
0.75,0.82,0.66,221,8,0.7162493265138474
0.14,0.29,0.25,222,6,0.20160020025170042
0.62,0.8,0.67,223,6,0.6222932975254732
0.24,0.36,0.16,224,6,0.259771636246915
0.8,0.66,0.72,225,6,0.6828818934453491
0.13,0.27,0.16,226,6,0.2050028424145263
0.7,0.73,0.69,227,6,0.7038359197106883
0.23,0.09,0.07,228,6,0.1148124407453091
0.13,0.24,0.23,229,6,0.20494722846797697
0.34,0.17,0.26,230,10,0.2921872252692546
0.21,0.4,0.29,231,9,0.2854883378218259
0.8,0.54,0.71,232,8,0.7541701005096947
0.26,0.18,0.07,233,8,0.14831561990493924
0.67,0.62,0.69,234,10,0.5687850450626233
0.84,0.75,0.86,235,10,0.8689494088434495
0.14,0.38,0.15,236,10,0.21144037508621605
0.61,0.63,0.65,237,10,0.6494698566928656
0.08,0.02,0.31,30,15,0.13188495114983356
0.11,0.25,0.05,31,11,0.13895332670448837
0.23,0.13,0.19,32,16,0.15981080045254573
0.11,0.14,0.1,33,16,0.11292539795328936
0.26,0.25,0.09,34,11,0.18120046304932033
0.73,0.78,0.6,35,11,0.7326036251581901
0.57,0.64,0.79,36,13,0.6620110104006309
0.64,0.63,0.62,37,12,0.6689542035428299
0.76,0.66,0.83,38,11,0.6378285068756798
0.01,0.17,0.17,39,12,0.11225449632710108
0.67,0.73,0.78,310,11,0.6212005151321035
0.65,0.51,0.56,311,12,0.5027624295462243
0.17,0.26,0.14,312,13,0.19576401291077153
